method,caliper,n_matched,retention,max_smd,mean_smd,att,se,bias,mse,coverage,ci_width,replication,scenario_id,n,treatment_prevalence,overlap_name,overlap_level,confounding_name,confounding_strength
Fixed-0.1,0.1,295,0.5935613682092555,0.03702903298411243,0.01975092992544502,0.3958129542021187,0.12180554470022037,-0.1041870457978813,0.025691531231807195,1.0,0.4794426265805303,0,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,298,0.5995975855130785,0.05159514457789727,0.02743667218527464,0.40548124886005893,0.11822761769417235,-0.09451875113994107,0.022911563902693485,1.0,0.4653400077332176,0,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,318,0.6398390342052314,0.10985483286631142,0.03192811341424421,0.5464184714628607,0.12024139109229488,0.04641847146286071,0.016612666624758625,1.0,0.47314402012290674,0,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,497,1.0,0.5430890673437916,0.36347632825303244,1.7605035632975294,0.10873694774798684,1.2605035632975294,1.6006929568913173,0.0,0.42728363756353716,0,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.4,308,0.6197183098591549,0.07894796213737043,0.024033137534210217,0.5374035738880008,0.12100406219517106,0.03740357388800075,0.016041010407327957,1.0,0.4762045382694582,0,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.35,304,0.6116700201207244,0.07691097875016967,0.02773889418546081,0.5316328345835469,0.1233556517044957,0.03163283458354693,0.016217253031230894,1.0,0.48548444803603985,0,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,0.6,327,0.6579476861167002,0.10882352892017944,0.047911987805546265,0.5974910737978715,0.11463724780961278,0.09749107379787147,0.02264620805562459,1.0,0.45104426891419247,0,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,311,0.6232464929859719,0.03622215296048674,0.012273474716142199,0.5413989441036697,0.10093065251131998,0.04139894410366973,0.011900869189259592,1.0,0.3971915750055761,1,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,319,0.6392785571142284,0.03919197243529707,0.016190729205400687,0.5507993423013198,0.09996621910860168,0.05079934230131977,0.012573818141115616,1.0,0.3933574650110121,1,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,332,0.6653306613226453,0.055511702395681956,0.03067063318258741,0.6293351065305072,0.09794319899041372,0.12933510653050717,0.026320440009733416,1.0,0.385339259739265,1,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,499,1.0,0.507828849908741,0.3203770665663385,1.7606574293217325,0.09854339930393184,1.2606574293217325,1.598967955650453,0.0,0.38722411625309316,1,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.7,350,0.7014028056112225,0.08134524534358674,0.04841817025428304,0.7233902559820582,0.09477557723466165,0.2233902559820582,0.0588856165078928,0.0,0.3728062832911969,1,1,1000,0.5,medium,0.6,strong,1.0
ACS-Knee,0.3,323,0.6472945891783567,0.03634285863487035,0.017899567289666678,0.5780785726911537,0.09738604817944004,0.0780785726911537,0.015580305893495988,1.0,0.38318655595293905,1,1,1000,0.5,medium,0.6,strong,1.0
ACS-Weighted,1.0,380,0.7615230460921844,0.13914485896687018,0.09153395217915748,0.8692628014238449,0.08911830299860976,0.36926280142384493,0.14429708844473793,0.0,0.3504564739099456,1,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.1,0.1,309,0.6204819277108434,0.058184895453022335,0.026709464482584808,0.48929312412765397,0.09781922726583475,-0.010706875872346033,0.009683238413830855,1.0,0.3849570053313335,2,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.2,0.2,314,0.6305220883534136,0.06002211851807409,0.0334893382112852,0.5091988055530493,0.09983939195369196,0.009198805553049305,0.010052522209285741,1.0,0.39288238810112447,2,1,1000,0.5,medium,0.6,strong,1.0
Fixed-0.5,0.5,326,0.6546184738955824,0.07907158366580337,0.03994598754454541,0.6270936665325363,0.10049113907677852,0.1270936665325363,0.026251269105631976,1.0,0.3953904414864267,2,1,1000,0.5,medium,0.6,strong,1.0
No Caliper,inf,498,1.0,0.5658163440319915,0.3376875586942856,1.8337112931159822,0.1014197046212066,1.3337112931159822,1.7890717698705583,0.0,0.39852844810035926,2,1,1000,0.5,medium,0.6,strong,1.0
ACS-Balance,0.6,332,0.6666666666666666,0.0957072654602144,0.034812825060848956,0.6604744685368109,0.1005188432331434,0.1604744685368109,0.03585609289710118,1.0,0.3954726519101936,2,1,1000,0.5,medium,0.6,strong,1.0
