scenario_id,n,treatment_prevalence,overlap_name,confounding_name,method,mean_caliper,mean_n_matched,mean_retention,mean_max_smd,sd_max_smd,mean_mean_smd,mean_att,sd_att,mean_bias,mean_abs_bias,mean_mse,coverage_rate,mean_ci_width,rmse
1,500,0.3,high,weak,ACS-Balance,1.02505,147.354,0.9837688415849355,0.08732296774995668,0.02383925962541912,0.044985894537141455,0.5171652209202209,0.1199945183387917,0.01716522092022095,0.09811537592436974,0.029467453476387264,0.955,0.4794247550576531,0.17166086763262983
1,500,0.3,high,weak,ACS-Knee,0.8482000000000001,146.963,0.9812409467154877,0.0849442035238523,0.028525523140623576,0.043668487867730435,0.5146117792180728,0.12047167661709113,0.01461177921807278,0.09761428058144994,0.02951081891915668,0.951,0.47963132458734603,0.17178713257737518
1,500,0.3,high,weak,ACS-Weighted,1.05245,148.286,0.9900912960536069,0.08744411313441128,0.030025799031593168,0.0445458001102282,0.5181797964026692,0.11948603388095531,0.018179796402669257,0.09728532978593545,0.02926018864957586,0.955,0.4774892899181611,0.1710560979608031
1,500,0.3,high,weak,Fixed-0.1,0.1,138.874,0.9276512101529258,0.09637945669929358,0.03481377149851749,0.04740035597343933,0.5027979161211824,0.12406808706484804,0.0027979161211824396,0.09992734068947098,0.031009950914591293,0.952,0.49307494522486633,0.17609642504773143
1,500,0.3,high,weak,Fixed-0.2,0.2,142.043,0.9487799370165932,0.0924010101206189,0.03413418684950369,0.045414140573104445,0.5034094951051235,0.12280559490343804,0.0034094951051234263,0.09859142830860582,0.03035442481717519,0.955,0.4874860763983689,0.1742252129204473
1,500,0.3,high,weak,Fixed-0.5,0.5,145.199,0.9697670798088353,0.08977092660894037,0.03258943557967707,0.04403811583156381,0.5064700744255625,0.12071871704698453,0.00647007442556243,0.097252848386538,0.02953021017647591,0.953,0.48184762141834137,0.1718435630929361
1,500,0.3,high,weak,No Caliper,inf,149.797,1.0,0.09681461629402677,0.031778940794647104,0.047157063836325605,0.523967205470572,0.11971605317915883,0.023967205470571948,0.09848057648709685,0.029433652771621816,0.952,0.47540550132981774,0.17156238740359675
2,500,0.3,high,strong,ACS-Balance,1.02305,147.691,0.9834358253806538,0.08811413094136965,0.024689867125302595,0.044885446114739144,0.5513447546832513,0.13127591242543274,0.05134475468325131,0.11331574670139781,0.046006092729704316,0.968,0.6345565996975739,0.21449030917434084
2,500,0.3,high,strong,ACS-Knee,0.8339500000000001,147.324,0.9811286185153458,0.08571068060499835,0.029926835644984426,0.043811955313939895,0.5430647508324747,0.13108320990069244,0.04306475083247468,0.10977204197909972,0.04514474988031527,0.971,0.6340884246491173,0.21247293917182788
2,500,0.3,high,strong,ACS-Weighted,1.0252999999999999,148.493,0.9889543859674669,0.08761147318271381,0.031109009066948926,0.044196825160212554,0.5530868889982801,0.13206197676189588,0.053086888998280034,0.11408386140735757,0.046199994613809414,0.965,0.6321554464867593,0.21494184007263317
2,500,0.3,high,strong,Fixed-0.1,0.1,139.099,0.9268247133700449,0.09702244994295894,0.03576451589314244,0.047305018471828254,0.5002877843542652,0.1278299413498503,0.00028778435426527854,0.10178662059018671,0.04377671013918809,0.989,0.6501619156104811,0.20922884633622604
2,500,0.3,high,strong,Fixed-0.2,0.2,142.242,0.9477398799530865,0.09280863546961438,0.03481966946186569,0.045496730833940374,0.5023000360255127,0.12588161988792174,0.002300036025512697,0.1003158710897061,0.04264216944944584,0.99,0.6424413846541239,0.20649980496224649
2,500,0.3,high,strong,Fixed-0.5,0.5,145.461,0.9690502854602735,0.09052283624330443,0.03356328394697702,0.04383526179113959,0.5175839620544319,0.12621701199189508,0.017583962054431985,0.10189025019850081,0.04243107409540869,0.988,0.6351387017540147,0.20598804357391398
2,500,0.3,high,strong,No Caliper,inf,150.192,1.0,0.09775317919983509,0.032784455836309644,0.04698465357069418,0.5765913854716029,0.1399215588372872,0.07659138547160296,0.12705586705428512,0.05138738476000292,0.946,0.6322965630780563,0.226687857548663
3,500,0.3,medium,weak,ACS-Balance,0.6812,131.315,0.874310606675829,0.09560242190661175,0.015932968162089705,0.052244585628370685,0.5264237818041904,0.1252784793958565,0.02642378180419046,0.1017698552586355,0.032725086404074046,0.944,0.5044854658421215,0.18090076396763516
3,500,0.3,medium,weak,ACS-Knee,0.83105,134.739,0.8972068671801032,0.10750151939506679,0.03546144830346598,0.05611501585557799,0.5381746982717387,0.12413291884435333,0.03817469827173876,0.10336903703069124,0.03279460654037712,0.942,0.4982580999483883,0.18109281195115703
3,500,0.3,medium,weak,ACS-Weighted,1.0953499999999998,138.972,0.9251178511182031,0.11531194583587784,0.03696651788627495,0.06409844288503476,0.5549677969675033,0.1229135988343137,0.054967796967503334,0.10854033428136992,0.03361381811044365,0.93,0.4912085847966644,0.1833407159101427
3,500,0.3,medium,weak,Fixed-0.1,0.1,120.056,0.7994587840199356,0.10491096816048238,0.03846935796903459,0.05169681228047717,0.49708909435369947,0.12962463764045867,-0.0029109056463005184,0.10291883235845296,0.03461667701800458,0.956,0.527277167610801,0.18605557507907303
3,500,0.3,medium,weak,Fixed-0.2,0.2,122.81,0.8178358917522347,0.10155304018611648,0.03708972913182312,0.049494886902880675,0.5004568336188717,0.128039406101334,0.0004568336188717879,0.10049935133942202,0.033772355865455926,0.956,0.5208094526467645,0.18377256559523766
3,500,0.3,medium,weak,Fixed-0.5,0.5,128.63,0.8565368613303743,0.10230897843683526,0.03292527283876728,0.048761072539650986,0.5147875346655355,0.1251346476005615,0.01478753466553558,0.09894979471840823,0.032483183456775984,0.958,0.5089780177690774,0.18023091703915836
3,500,0.3,medium,weak,No Caliper,inf,150.358,1.0,0.19041023216899325,0.05058093518141337,0.1032906301611745,0.6133388821933212,0.12083135220578393,0.11333888219332121,0.1374555407735316,0.04203171551673626,0.852,0.4765345881006715,0.20501637865481934
4,500,0.3,medium,strong,ACS-Balance,0.7178,131.375,0.8760674347610466,0.0954603572775347,0.015524056015813562,0.05218535757753598,0.5982745988835412,0.15001595758534308,0.09827459888354123,0.14432987668272493,0.0588171743992368,0.913,0.6431644713958776,0.24252252348851397
4,500,0.3,medium,strong,ACS-Knee,0.8415,134.357,0.8958591168559379,0.10676102204036049,0.03439001715596499,0.05591571800760571,0.6327796817749641,0.1541528465939984,0.13277968177496413,0.16443247198932703,0.06769229518859628,0.874,0.6390170062604459,0.2601774302059967
4,500,0.3,medium,strong,ACS-Weighted,1.11485,138.792,0.925140114974151,0.11515270278663167,0.038640056261373575,0.06425935126700569,0.6897636458519028,0.1612273049727971,0.1897636458519028,0.20697138961567665,0.08790083411495893,0.782,0.6340545242148506,0.2964807483040997
4,500,0.3,medium,strong,Fixed-0.1,0.1,119.801,0.7989255455087032,0.10485530651427197,0.03770729833840698,0.052169059986717774,0.4989168982832482,0.1456612056964746,-0.0010831017167517822,0.11573703314914524,0.04985818915042263,0.979,0.6671225755877149,0.22328947389078294
4,500,0.3,medium,strong,Fixed-0.2,0.2,122.51,0.8170387195171783,0.1010340063799725,0.034796159448086304,0.04953105408262419,0.5056682078543282,0.1444660712134437,0.005668207854328159,0.11465002186867093,0.04893043842839034,0.975,0.6598641183900419,0.22120225683385406
4,500,0.3,medium,strong,Fixed-0.5,0.5,128.31,0.8556060528707965,0.09988509679162942,0.032987112702112215,0.04809646292538553,0.5552667960232729,0.14264338875710683,0.055266796023273,0.12187682746606811,0.050294664125751086,0.961,0.6462118655154965,0.22426471886088342
