Scenario ID,Scenario,Method,Retention,Max |SMD|,Mean |Bias|,RMSE,Coverage,CI Width
1,"n=500, prev=0.3, high, weak",ACS-Balance,0.9838,0.0873,0.0981,0.1717,0.955,0.4794
1,"n=500, prev=0.3, high, weak",ACS-Knee,0.9812,0.0849,0.0976,0.1718,0.951,0.4796
1,"n=500, prev=0.3, high, weak",ACS-Weighted,0.9901,0.0874,0.0973,0.1711,0.955,0.4775
1,"n=500, prev=0.3, high, weak",Fixed-0.1,0.9277,0.0964,0.0999,0.1761,0.952,0.4931
1,"n=500, prev=0.3, high, weak",Fixed-0.2,0.9488,0.0924,0.0986,0.1742,0.955,0.4875
1,"n=500, prev=0.3, high, weak",Fixed-0.5,0.9698,0.0898,0.0973,0.1718,0.953,0.4818
1,"n=500, prev=0.3, high, weak",No Caliper,1.0,0.0968,0.0985,0.1716,0.952,0.4754
2,"n=500, prev=0.3, high, strong",ACS-Balance,0.9834,0.0881,0.1133,0.2145,0.968,0.6346
2,"n=500, prev=0.3, high, strong",ACS-Knee,0.9811,0.0857,0.1098,0.2125,0.971,0.6341
2,"n=500, prev=0.3, high, strong",ACS-Weighted,0.989,0.0876,0.1141,0.2149,0.965,0.6322
2,"n=500, prev=0.3, high, strong",Fixed-0.1,0.9268,0.097,0.1018,0.2092,0.989,0.6502
2,"n=500, prev=0.3, high, strong",Fixed-0.2,0.9477,0.0928,0.1003,0.2065,0.99,0.6424
2,"n=500, prev=0.3, high, strong",Fixed-0.5,0.9691,0.0905,0.1019,0.206,0.988,0.6351
2,"n=500, prev=0.3, high, strong",No Caliper,1.0,0.0978,0.1271,0.2267,0.946,0.6323
3,"n=500, prev=0.3, medium, weak",ACS-Balance,0.8743,0.0956,0.1018,0.1809,0.944,0.5045
3,"n=500, prev=0.3, medium, weak",ACS-Knee,0.8972,0.1075,0.1034,0.1811,0.942,0.4983
3,"n=500, prev=0.3, medium, weak",ACS-Weighted,0.9251,0.1153,0.1085,0.1833,0.93,0.4912
3,"n=500, prev=0.3, medium, weak",Fixed-0.1,0.7995,0.1049,0.1029,0.1861,0.956,0.5273
3,"n=500, prev=0.3, medium, weak",Fixed-0.2,0.8178,0.1016,0.1005,0.1838,0.956,0.5208
3,"n=500, prev=0.3, medium, weak",Fixed-0.5,0.8565,0.1023,0.0989,0.1802,0.958,0.509
3,"n=500, prev=0.3, medium, weak",No Caliper,1.0,0.1904,0.1375,0.205,0.852,0.4765
4,"n=500, prev=0.3, medium, strong",ACS-Balance,0.8761,0.0955,0.1443,0.2425,0.913,0.6432
