Scenario ID,Scenario,Best Method,Best RMSE,Fixed-0.1 Rank,Fixed-0.2 Rank,ACS-Balance Rank,ACS-Knee Rank
1,"n=500, prev=0.3, high, weak",ACS-Weighted,0.1711,7,6,3,4
2,"n=500, prev=0.3, high, strong",Fixed-0.5,0.2060,3,2,5,4
3,"n=500, prev=0.3, medium, weak",ACS-Balance,0.1809,6,5,2,3
4,"n=500, prev=0.3, medium, strong",Fixed-0.5,0.2243,2,1,4,5
5,"n=500, prev=0.3, low, weak",None compliant,N/A,5,4,2,3
6,"n=500, prev=0.3, low, strong",ACS-Balance,0.2639,2,1,3,5
7,"n=500, prev=0.5, high, weak",Fixed-0.5,0.1468,5,2,4,3
8,"n=500, prev=0.5, high, strong",Fixed-0.2,0.1793,2,1,5,4
9,"n=500, prev=0.5, medium, weak",Fixed-0.5,0.1615,4,3,2,5
10,"n=500, prev=0.5, medium, strong",Fixed-0.2,0.1985,2,1,4,5
11,"n=500, prev=0.5, low, weak",ACS-Balance,0.1896,5,3,2,4
12,"n=500, prev=0.5, low, strong",ACS-Balance,0.2423,2,1,3,5
13,"n=500, prev=0.7, high, weak",ACS-Balance,0.1709,5,3,2,4
14,"n=500, prev=0.7, high, strong",Fixed-0.2,0.2125,2,1,4,5
15,"n=500, prev=0.7, medium, weak",ACS-Balance,0.1846,4,3,2,5
16,"n=500, prev=0.7, medium, strong",ACS-Balance,0.2401,2,1,3,5
17,"n=500, prev=0.7, low, weak",ACS-Balance,0.2085,4,3,2,5
18,"n=500, prev=0.7, low, strong",None compliant,N/A,2,1,3,5
19,"n=1000, prev=0.3, high, weak",ACS-Weighted,0.1206,7,6,3,2
20,"n=1000, prev=0.3, high, strong",Fixed-0.5,0.1424,3,2,6,4
21,"n=1000, prev=0.3, medium, weak",Fixed-0.5,0.1263,3,2,5,4
22,"n=1000, prev=0.3, medium, strong",Fixed-0.2,0.1509,2,1,5,4
23,"n=1000, prev=0.3, low, weak",Fixed-0.5,0.1423,4,3,2,5
24,"n=1000, prev=0.3, low, strong",Fixed-0.2,0.1741,2,1,4,5
25,"n=1000, prev=0.5, high, weak",Fixed-0.5,0.1040,3,2,5,4
26,"n=1000, prev=0.5, high, strong",Fixed-0.2,0.1232,2,1,5,4
27,"n=1000, prev=0.5, medium, weak",Fixed-0.2,0.1153,3,1,5,4
28,"n=1000, prev=0.5, medium, strong",Fixed-0.1,0.1370,1,2,5,4
29,"n=1000, prev=0.5, low, weak",Fixed-0.2,0.1357,3,1,2,5
30,"n=1000, prev=0.5, low, strong",Fixed-0.1,0.1576,1,2,3,5
31,"n=1000, prev=0.7, high, weak",Fixed-0.2,0.1209,2,1,5,4
32,"n=1000, prev=0.7, high, strong",Fixed-0.2,0.1419,2,1,5,4
33,"n=1000, prev=0.7, medium, weak",Fixed-0.2,0.1295,2,1,4,5
34,"n=1000, prev=0.7, medium, strong",Fixed-0.2,0.1518,2,1,4,5
35,"n=1000, prev=0.7, low, weak",Fixed-0.2,0.1453,2,1,3,5
36,"n=1000, prev=0.7, low, strong",Fixed-0.1,0.1705,1,2,3,5
37,"n=2000, prev=0.3, high, weak",ACS-Knee,0.0836,7,5,4,1
38,"n=2000, prev=0.3, high, strong",Fixed-0.2,0.1007,3,1,6,4
39,"n=2000, prev=0.3, medium, weak",Fixed-0.2,0.0918,3,1,6,4
40,"n=2000, prev=0.3, medium, strong",Fixed-0.1,0.1084,1,2,6,4
41,"n=2000, prev=0.3, low, weak",Fixed-0.2,0.1033,3,1,5,4
42,"n=2000, prev=0.3, low, strong",Fixed-0.1,0.1210,1,2,5,4
43,"n=2000, prev=0.5, high, weak",Fixed-0.2,0.0738,2,1,5,4
44,"n=2000, prev=0.5, high, strong",Fixed-0.2,0.0847,2,1,5,4
45,"n=2000, prev=0.5, medium, weak",Fixed-0.2,0.0823,2,1,5,4
46,"n=2000, prev=0.5, medium, strong",Fixed-0.1,0.0974,1,2,5,4
47,"n=2000, prev=0.5, low, weak",Fixed-0.2,0.0971,2,1,5,4
48,"n=2000, prev=0.5, low, strong",Fixed-0.1,0.1122,1,2,5,4
49,"n=2000, prev=0.7, high, weak",Fixed-0.2,0.0827,2,1,6,4
50,"n=2000, prev=0.7, high, strong",Fixed-0.1,0.1011,1,2,6,4
51,"n=2000, prev=0.7, medium, weak",Fixed-0.2,0.0919,2,1,4,5
52,"n=2000, prev=0.7, medium, strong",Fixed-0.1,0.1056,1,2,4,5
53,"n=2000, prev=0.7, low, weak",Fixed-0.2,0.1047,2,1,3,5
54,"n=2000, prev=0.7, low, strong",Fixed-0.1,0.1215,1,2,3,5
