Scenario ID,Scenario,Method,Mean Estimate,Bias,RMSE,Coverage,CI Width
1,"n=500, prev=0.3, high, weak",ACS-Balance,N/A,0.0172,0.1717,0.955,0.4794
1,"n=500, prev=0.3, high, weak",ACS-Knee,N/A,0.0146,0.1718,0.951,0.4796
1,"n=500, prev=0.3, high, weak",ACS-Weighted,N/A,0.0182,0.1711,0.955,0.4775
1,"n=500, prev=0.3, high, weak",Fixed-0.1,N/A,0.0028,0.1761,0.952,0.4931
1,"n=500, prev=0.3, high, weak",Fixed-0.2,N/A,0.0034,0.1742,0.955,0.4875
1,"n=500, prev=0.3, high, weak",Fixed-0.5,N/A,0.0065,0.1718,0.953,0.4818
1,"n=500, prev=0.3, high, weak",No Caliper,N/A,0.0240,0.1716,0.952,0.4754
2,"n=500, prev=0.3, high, strong",ACS-Balance,N/A,0.0513,0.2145,0.968,0.6346
2,"n=500, prev=0.3, high, strong",ACS-Knee,N/A,0.0431,0.2125,0.971,0.6341
2,"n=500, prev=0.3, high, strong",ACS-Weighted,N/A,0.0531,0.2149,0.965,0.6322
2,"n=500, prev=0.3, high, strong",Fixed-0.1,N/A,0.0003,0.2092,0.989,0.6502
2,"n=500, prev=0.3, high, strong",Fixed-0.2,N/A,0.0023,0.2065,0.990,0.6424
2,"n=500, prev=0.3, high, strong",Fixed-0.5,N/A,0.0176,0.2060,0.988,0.6351
2,"n=500, prev=0.3, high, strong",No Caliper,N/A,0.0766,0.2267,0.946,0.6323
3,"n=500, prev=0.3, medium, weak",ACS-Balance,N/A,0.0264,0.1809,0.944,0.5045
3,"n=500, prev=0.3, medium, weak",ACS-Knee,N/A,0.0382,0.1811,0.942,0.4983
3,"n=500, prev=0.3, medium, weak",ACS-Weighted,N/A,0.0550,0.1833,0.930,0.4912
3,"n=500, prev=0.3, medium, weak",Fixed-0.1,N/A,-0.0029,0.1861,0.956,0.5273
3,"n=500, prev=0.3, medium, weak",Fixed-0.2,N/A,0.0005,0.1838,0.956,0.5208
3,"n=500, prev=0.3, medium, weak",Fixed-0.5,N/A,0.0148,0.1802,0.958,0.5090
3,"n=500, prev=0.3, medium, weak",No Caliper,N/A,0.1133,0.2050,0.852,0.4765
4,"n=500, prev=0.3, medium, strong",ACS-Balance,N/A,0.0983,0.2425,0.913,0.6432
4,"n=500, prev=0.3, medium, strong",ACS-Knee,N/A,0.1328,0.2602,0.874,0.6390
4,"n=500, prev=0.3, medium, strong",ACS-Weighted,N/A,0.1898,0.2965,0.782,0.6341
4,"n=500, prev=0.3, medium, strong",Fixed-0.1,N/A,-0.0011,0.2233,0.979,0.6671
4,"n=500, prev=0.3, medium, strong",Fixed-0.2,N/A,0.0057,0.2212,0.975,0.6599
4,"n=500, prev=0.3, medium, strong",Fixed-0.5,N/A,0.0553,0.2243,0.961,0.6462
4,"n=500, prev=0.3, medium, strong",No Caliper,N/A,0.3838,0.4550,0.369,0.6388
5,"n=500, prev=0.3, low, weak",ACS-Balance,N/A,0.0328,0.2075,0.940,0.5729
5,"n=500, prev=0.3, low, weak",ACS-Knee,N/A,0.0675,0.2085,0.913,0.5462
5,"n=500, prev=0.3, low, weak",ACS-Weighted,N/A,0.1044,0.2184,0.853,0.5236
5,"n=500, prev=0.3, low, weak",Fixed-0.1,N/A,0.0080,0.2132,0.953,0.5978
5,"n=500, prev=0.3, low, weak",Fixed-0.2,N/A,0.0120,0.2099,0.957,0.5897
5,"n=500, prev=0.3, low, weak",Fixed-0.5,N/A,0.0392,0.2042,0.947,0.5626
5,"n=500, prev=0.3, low, weak",No Caliper,N/A,0.2393,0.2945,0.505,0.4780
6,"n=500, prev=0.3, low, strong",ACS-Balance,N/A,0.0941,0.2639,0.940,0.7205
6,"n=500, prev=0.3, low, strong",ACS-Knee,N/A,0.2097,0.3391,0.753,0.6955
6,"n=500, prev=0.3, low, strong",ACS-Weighted,N/A,0.3472,0.4449,0.517,0.6741
6,"n=500, prev=0.3, low, strong",Fixed-0.1,N/A,0.0068,0.2503,0.977,0.7493
6,"n=500, prev=0.3, low, strong",Fixed-0.2,N/A,0.0221,0.2485,0.975,0.7391
6,"n=500, prev=0.3, low, strong",Fixed-0.5,N/A,0.1198,0.2664,0.936,0.7087
6,"n=500, prev=0.3, low, strong",No Caliper,N/A,0.8077,0.8449,0.004,0.6657
7,"n=500, prev=0.5, high, weak",ACS-Balance,N/A,0.0448,0.1502,0.933,0.4055
7,"n=500, prev=0.5, high, weak",ACS-Knee,N/A,0.0322,0.1487,0.945,0.4091
