Scenario ID,Scenario,Method,Mean Matched,SD Matched,Retention,Max |SMD|,Mean Bias,|Bias|,RMSE,MSE,Coverage
1,"n=500, prev=0.3, high, weak",ACS-Balance,147.4,N/A,0.984,0.087,0.0172,0.0981,0.1717,N/A,0.955
1,"n=500, prev=0.3, high, weak",ACS-Knee,147.0,N/A,0.981,0.085,0.0146,0.0976,0.1718,N/A,0.951
1,"n=500, prev=0.3, high, weak",ACS-Weighted,148.3,N/A,0.990,0.087,0.0182,0.0973,0.1711,N/A,0.955
1,"n=500, prev=0.3, high, weak",Fixed-0.1,138.9,N/A,0.928,0.096,0.0028,0.0999,0.1761,N/A,0.952
1,"n=500, prev=0.3, high, weak",Fixed-0.2,142.0,N/A,0.949,0.092,0.0034,0.0986,0.1742,N/A,0.955
1,"n=500, prev=0.3, high, weak",Fixed-0.5,145.2,N/A,0.970,0.090,0.0065,0.0973,0.1718,N/A,0.953
1,"n=500, prev=0.3, high, weak",No Caliper,149.8,N/A,1.000,0.097,0.0240,0.0985,0.1716,N/A,0.952
2,"n=500, prev=0.3, high, strong",ACS-Balance,147.7,N/A,0.983,0.088,0.0513,0.1133,0.2145,N/A,0.968
2,"n=500, prev=0.3, high, strong",ACS-Knee,147.3,N/A,0.981,0.086,0.0431,0.1098,0.2125,N/A,0.971
2,"n=500, prev=0.3, high, strong",ACS-Weighted,148.5,N/A,0.989,0.088,0.0531,0.1141,0.2149,N/A,0.965
2,"n=500, prev=0.3, high, strong",Fixed-0.1,139.1,N/A,0.927,0.097,0.0003,0.1018,0.2092,N/A,0.989
2,"n=500, prev=0.3, high, strong",Fixed-0.2,142.2,N/A,0.948,0.093,0.0023,0.1003,0.2065,N/A,0.990
2,"n=500, prev=0.3, high, strong",Fixed-0.5,145.5,N/A,0.969,0.091,0.0176,0.1019,0.2060,N/A,0.988
2,"n=500, prev=0.3, high, strong",No Caliper,150.2,N/A,1.000,0.098,0.0766,0.1271,0.2267,N/A,0.946
3,"n=500, prev=0.3, medium, weak",ACS-Balance,131.3,N/A,0.874,0.096,0.0264,0.1018,0.1809,N/A,0.944
3,"n=500, prev=0.3, medium, weak",ACS-Knee,134.7,N/A,0.897,0.108,0.0382,0.1034,0.1811,N/A,0.942
3,"n=500, prev=0.3, medium, weak",ACS-Weighted,139.0,N/A,0.925,0.115,0.0550,0.1085,0.1833,N/A,0.930
3,"n=500, prev=0.3, medium, weak",Fixed-0.1,120.1,N/A,0.799,0.105,-0.0029,0.1029,0.1861,N/A,0.956
3,"n=500, prev=0.3, medium, weak",Fixed-0.2,122.8,N/A,0.818,0.102,0.0005,0.1005,0.1838,N/A,0.956
3,"n=500, prev=0.3, medium, weak",Fixed-0.5,128.6,N/A,0.857,0.102,0.0148,0.0989,0.1802,N/A,0.958
3,"n=500, prev=0.3, medium, weak",No Caliper,150.4,N/A,1.000,0.190,0.1133,0.1375,0.2050,N/A,0.852
