Scenario_ID,Scenario,Method,Caliper,Max_Abs_SMD,Retention,N_Matched,RMSE,Meets_Threshold
1,"n=500, prev=0.3, high, weak",Fixed-0.1,0.1,0.09637945669929358,0.9276512101529258,138.874,0.17609642504773143,Yes
1,"n=500, prev=0.3, high, weak",Fixed-0.2,0.2,0.0924010101206189,0.9487799370165932,142.043,0.1742252129204473,Yes
1,"n=500, prev=0.3, high, weak",Fixed-0.5,0.5,0.08977092660894037,0.9697670798088353,145.199,0.1718435630929361,Yes
1,"n=500, prev=0.3, high, weak",No Caliper,None,0.09681461629402677,1.0,149.797,0.17156238740359675,Yes
1,"n=500, prev=0.3, high, weak",ACS-Balance,1.025,0.08732296774995668,0.9837688415849355,147.354,0.17166086763262983,Yes
1,"n=500, prev=0.3, high, weak",ACS-Knee,0.848,0.0849442035238523,0.9812409467154877,146.963,0.17178713257737518,Yes
1,"n=500, prev=0.3, high, weak",ACS-Weighted,1.052,0.08744411313441128,0.9900912960536069,148.286,0.1710560979608031,Yes
2,"n=500, prev=0.3, high, strong",Fixed-0.1,0.1,0.09702244994295894,0.9268247133700449,139.099,0.20922884633622604,Yes
2,"n=500, prev=0.3, high, strong",Fixed-0.2,0.2,0.09280863546961438,0.9477398799530865,142.242,0.20649980496224649,Yes
2,"n=500, prev=0.3, high, strong",Fixed-0.5,0.5,0.09052283624330443,0.9690502854602735,145.461,0.20598804357391398,Yes
2,"n=500, prev=0.3, high, strong",No Caliper,None,0.09775317919983509,1.0,150.192,0.226687857548663,Yes
2,"n=500, prev=0.3, high, strong",ACS-Balance,1.023,0.08811413094136965,0.9834358253806538,147.691,0.21449030917434084,Yes
2,"n=500, prev=0.3, high, strong",ACS-Knee,0.834,0.08571068060499835,0.9811286185153458,147.324,0.21247293917182788,Yes
2,"n=500, prev=0.3, high, strong",ACS-Weighted,1.025,0.08761147318271381,0.9889543859674669,148.493,0.21494184007263317,Yes
3,"n=500, prev=0.3, medium, weak",Fixed-0.1,0.1,0.10491096816048238,0.7994587840199356,120.056,0.18605557507907303,No
3,"n=500, prev=0.3, medium, weak",Fixed-0.2,0.2,0.10155304018611648,0.8178358917522347,122.81,0.18377256559523766,No
3,"n=500, prev=0.3, medium, weak",Fixed-0.5,0.5,0.10230897843683526,0.8565368613303743,128.63,0.18023091703915836,No
3,"n=500, prev=0.3, medium, weak",No Caliper,None,0.19041023216899325,1.0,150.358,0.20501637865481934,No
3,"n=500, prev=0.3, medium, weak",ACS-Balance,0.681,0.09560242190661175,0.874310606675829,131.315,0.18090076396763516,Yes
3,"n=500, prev=0.3, medium, weak",ACS-Knee,0.831,0.10750151939506679,0.8972068671801032,134.739,0.18109281195115703,No
3,"n=500, prev=0.3, medium, weak",ACS-Weighted,1.095,0.11531194583587784,0.9251178511182031,138.972,0.1833407159101427,No
4,"n=500, prev=0.3, medium, strong",Fixed-0.1,0.1,0.10485530651427197,0.7989255455087032,119.801,0.22328947389078294,No
4,"n=500, prev=0.3, medium, strong",Fixed-0.2,0.2,0.1010340063799725,0.8170387195171783,122.51,0.22120225683385406,No
4,"n=500, prev=0.3, medium, strong",Fixed-0.5,0.5,0.09988509679162942,0.8556060528707965,128.31,0.22426471886088342,Yes
4,"n=500, prev=0.3, medium, strong",No Caliper,None,0.18935081050849753,1.0,150.158,0.4550073429448294,No
4,"n=500, prev=0.3, medium, strong",ACS-Balance,0.718,0.0954603572775347,0.8760674347610466,131.375,0.24252252348851397,Yes
4,"n=500, prev=0.3, medium, strong",ACS-Knee,0.842,0.10676102204036049,0.8958591168559379,134.357,0.2601774302059967,No
4,"n=500, prev=0.3, medium, strong",ACS-Weighted,1.115,0.11515270278663167,0.925140114974151,138.792,0.2964807483040997,No
5,"n=500, prev=0.3, low, weak",Fixed-0.1,0.1,0.12241752736237509,0.6237487964199397,93.75,0.21323491664349126,No
5,"n=500, prev=0.3, low, weak",Fixed-0.2,0.2,0.11869959280333692,0.6410467653674065,96.348,0.20986407645384916,No
5,"n=500, prev=0.3, low, weak",Fixed-0.5,0.5,0.12688230394391103,0.7034330113599067,105.741,0.2042367494998194,No
5,"n=500, prev=0.3, low, weak",No Caliper,None,0.3517086301054999,1.0,150.53,0.2944819781845743,No
5,"n=500, prev=0.3, low, weak",ACS-Balance,0.407,0.10038403355114804,0.6831862829227034,102.691,0.20752116401008042,No
5,"n=500, prev=0.3, low, weak",ACS-Knee,0.699,0.14101157926298616,0.7501089972324148,112.741,0.2084667864255299,No
5,"n=500, prev=0.3, low, weak",ACS-Weighted,1.011,0.16905703000437797,0.8181913251685541,123.045,0.21837680209269397,No
6,"n=500, prev=0.3, low, strong",Fixed-0.1,0.1,0.12328904508871655,0.6241042708631085,93.536,0.2502612028672246,No
6,"n=500, prev=0.3, low, strong",Fixed-0.2,0.2,0.11765246900550838,0.6416139282745017,96.16,0.24852721849088139,No
6,"n=500, prev=0.3, low, strong",Fixed-0.5,0.5,0.12496203263394763,0.703327999695377,105.422,0.2663897666478111,No
6,"n=500, prev=0.3, low, strong",No Caliper,None,0.3544886675711078,1.0,150.091,0.8449160605352145,No
6,"n=500, prev=0.3, low, strong",ACS-Balance,0.413,0.09936034900662316,0.6841810442233346,102.532,0.2638502151737212,Yes
6,"n=500, prev=0.3, low, strong",ACS-Knee,0.684,0.138424243821129,0.7468273882307922,111.922,0.339140697132209,No
6,"n=500, prev=0.3, low, strong",ACS-Weighted,1.017,0.1694133307393746,0.8181001497217582,122.647,0.44490645152383296,No
7,"n=500, prev=0.5, high, weak",Fixed-0.1,0.1,0.0678719124585473,0.7641853311974607,184.361,0.15104017340819365,Yes
7,"n=500, prev=0.5, high, weak",Fixed-0.2,0.2,0.06450828886430342,0.7835934276470571,189.043,0.14868947735415997,Yes
7,"n=500, prev=0.5, high, weak",Fixed-0.5,0.5,0.06736129953314171,0.8112584104388586,195.715,0.146844472686184,Yes
7,"n=500, prev=0.5, high, weak",No Caliper,None,0.3282543534630799,1.0,241.397,0.2671081303239576,No
7,"n=500, prev=0.5, high, weak",ACS-Balance,0.887,0.08752938322281387,0.8484826101074401,204.692,0.15015481601117162,Yes
7,"n=500, prev=0.5, high, weak",ACS-Knee,0.689,0.07354608005672546,0.8308443815295958,200.443,0.14871563259882162,Yes
7,"n=500, prev=0.5, high, weak",ACS-Weighted,1.019,0.09835198158404496,0.8658747547624872,208.887,0.15807599514832435,Yes
8,"n=500, prev=0.5, high, strong",Fixed-0.1,0.1,0.06747279050279928,0.7626523613913927,184.16,0.1819985435203974,Yes
8,"n=500, prev=0.5, high, strong",Fixed-0.2,0.2,0.06296475892619617,0.7823918143207511,188.925,0.1793132204465544,Yes
8,"n=500, prev=0.5, high, strong",Fixed-0.5,0.5,0.0665078020340396,0.8097279897911032,195.524,0.18449430940709208,Yes
8,"n=500, prev=0.5, high, strong",No Caliper,None,0.330046035432219,1.0,241.593,0.7828722270162267,No
8,"n=500, prev=0.5, high, strong",ACS-Balance,0.883,0.08804996533651206,0.8472004139063224,204.566,0.2281560884633987,Yes
8,"n=500, prev=0.5, high, strong",ACS-Knee,0.683,0.07311507922015482,0.8287030949151456,200.104,0.2101645314902054,Yes
8,"n=500, prev=0.5, high, strong",ACS-Weighted,1.041,0.10112010018973433,0.8663885682964017,209.203,0.28508391298220065,No
9,"n=500, prev=0.5, medium, weak",Fixed-0.1,0.1,0.08774642071372676,0.6080093779960198,147.098,0.16641597466275707,Yes
9,"n=500, prev=0.5, medium, weak",Fixed-0.2,0.2,0.08642123837919809,0.6205197540670456,150.123,0.1637632129636531,Yes
9,"n=500, prev=0.5, medium, weak",Fixed-0.5,0.5,0.0960237958815355,0.6589782184428659,159.427,0.1615259111763474,Yes
9,"n=500, prev=0.5, medium, weak",No Caliper,None,0.5367063413118188,1.0,242.057,0.4194294015046422,No
9,"n=500, prev=0.5, medium, weak",ACS-Balance,0.529,0.09068512112791198,0.6639844339174499,160.638,0.1631387812151847,Yes
9,"n=500, prev=0.5, medium, weak",ACS-Knee,0.616,0.10568089439807683,0.6793466967609139,164.348,0.16710915238108826,No
9,"n=500, prev=0.5, medium, weak",ACS-Weighted,0.998,0.1529523687806398,0.7439523050504817,179.967,0.18864411411469695,No
10,"n=500, prev=0.5, medium, strong",Fixed-0.1,0.1,0.08693558980584644,0.605150011776737,146.473,0.1991817759079958,Yes
10,"n=500, prev=0.5, medium, strong",Fixed-0.2,0.2,0.08562201090708006,0.6173127916782047,149.415,0.1984529683003557,Yes
10,"n=500, prev=0.5, medium, strong",Fixed-0.5,0.5,0.09724212087612989,0.6560967439760041,158.806,0.2200449993532773,Yes
10,"n=500, prev=0.5, medium, strong",No Caliper,None,0.5398415636596681,1.0,242.178,1.3669454945200261,No
10,"n=500, prev=0.5, medium, strong",ACS-Balance,0.527,0.09101515644033258,0.6609576079706708,159.982,0.2307711649921288,Yes
10,"n=500, prev=0.5, medium, strong",ACS-Knee,0.606,0.10554751447136708,0.675579427632997,163.528,0.26706353513125086,No
10,"n=500, prev=0.5, medium, strong",ACS-Weighted,1.001,0.15523281463232297,0.7431860487360096,179.881,0.43536272504414514,No
11,"n=500, prev=0.5, low, weak",Fixed-0.1,0.1,0.11044742035614986,0.45479440708239344,110.559,0.19640590945671654,No
11,"n=500, prev=0.5, low, weak",Fixed-0.2,0.2,0.10764728807595335,0.4672257687223382,113.58,0.19449761221392456,No
11,"n=500, prev=0.5, low, weak",Fixed-0.5,0.5,0.12898362875048142,0.5199283498062547,126.39,0.1884100809062718,No
11,"n=500, prev=0.5, low, weak",No Caliper,None,0.7092417346002701,1.0,243.196,0.5518300742858273,No
11,"n=500, prev=0.5, low, weak",ACS-Balance,0.349,0.09529545306494985,0.4932104264819073,119.902,0.18955392796355489,Yes
11,"n=500, prev=0.5, low, weak",ACS-Knee,0.559,0.13787185507024163,0.5360756092232013,130.34,0.1961862336414523,No
11,"n=500, prev=0.5, low, weak",ACS-Weighted,0.977,0.21001899384009756,0.6321148542887912,153.677,0.22995407087029052,No
12,"n=500, prev=0.5, low, strong",Fixed-0.1,0.1,0.11089757628997662,0.4560300260323629,110.678,0.22627933367878272,No
12,"n=500, prev=0.5, low, strong",Fixed-0.2,0.2,0.10838871372724038,0.4689052135403694,113.804,0.2237226386206185,No
12,"n=500, prev=0.5, low, strong",Fixed-0.5,0.5,0.1281345679596097,0.5217555970879277,126.633,0.2632083354623494,No
12,"n=500, prev=0.5, low, strong",No Caliper,None,0.706067251515615,1.0,242.835,1.7839444679266456,No
12,"n=500, prev=0.5, low, strong",ACS-Balance,0.353,0.09531662837206971,0.49518361281273204,120.178,0.24234971933725752,Yes
12,"n=500, prev=0.5, low, strong",ACS-Knee,0.554,0.13573115424809437,0.536448102497458,130.196,0.3158833676909626,No
12,"n=500, prev=0.5, low, strong",ACS-Weighted,0.972,0.2078625550490755,0.6331090829193827,153.668,0.5731200204348016,No
13,"n=500, prev=0.7, high, weak",Fixed-0.1,0.1,0.09751330700587663,0.9284089553298569,138.767,0.17431821431480704,Yes
13,"n=500, prev=0.7, high, weak",Fixed-0.2,0.2,0.09514595409436596,0.9482774753499313,141.75,0.17138133807256828,Yes
13,"n=500, prev=0.7, high, weak",Fixed-0.5,0.5,0.10407169199491914,0.970858084366312,145.152,0.16987267072050455,No
13,"n=500, prev=0.7, high, weak",No Caliper,None,0.3928697628069599,1.0,149.583,0.3049125260292166,No
13,"n=500, prev=0.7, high, weak",ACS-Balance,0.432,0.08843009503908032,0.9665611998964307,144.535,0.1708856087642645,Yes
13,"n=500, prev=0.7, high, weak",ACS-Knee,0.530,0.10129561781074138,0.9766794227096305,146.055,0.17201888958738776,No
13,"n=500, prev=0.7, high, weak",ACS-Weighted,0.681,0.11145959664460428,0.985293356217238,147.352,0.17559016325575927,No
14,"n=500, prev=0.7, high, strong",Fixed-0.1,0.1,0.09699427530653583,0.9304020809605625,138.963,0.21592215784741234,Yes
14,"n=500, prev=0.7, high, strong",Fixed-0.2,0.2,0.09454589763417574,0.949975677575626,141.893,0.21245789596916753,Yes
14,"n=500, prev=0.7, high, strong",Fixed-0.5,0.5,0.10268457095747865,0.9723884126552081,145.266,0.22739934449166269,No
14,"n=500, prev=0.7, high, strong",No Caliper,None,0.3890060202900713,1.0,149.45,0.8805833859472196,No
14,"n=500, prev=0.7, high, strong",ACS-Balance,0.435,0.08747623125956215,0.9686086008100053,144.73,0.2290675209102954,Yes
14,"n=500, prev=0.7, high, strong",ACS-Knee,0.527,0.0989826548150013,0.9782322747432319,146.172,0.24614076184537567,Yes
