Scenario_ID,Scenario,Best_Method,Caliper,Max_Abs_SMD,Retention,N_Matched,RMSE
1,"n=500, prev=0.3, high, weak",No Caliper,None,0.09681461629402677,1.0,149.797,0.17156238740359675
2,"n=500, prev=0.3, high, strong",No Caliper,None,0.09775317919983509,1.0,150.192,0.226687857548663
3,"n=500, prev=0.3, medium, weak",ACS-Balance,0.681,0.09560242190661175,0.874310606675829,131.315,0.18090076396763516
4,"n=500, prev=0.3, medium, strong",ACS-Balance,0.718,0.0954603572775347,0.8760674347610466,131.375,0.24252252348851397
5,"n=500, prev=0.3, low, weak",ACS-Balance (no threshold met),0.407,0.10038403355114804,0.6831862829227034,102.691,0.20752116401008042
6,"n=500, prev=0.3, low, strong",ACS-Balance,0.413,0.09936034900662316,0.6841810442233346,102.532,0.2638502151737212
7,"n=500, prev=0.5, high, weak",ACS-Weighted,1.019,0.09835198158404496,0.8658747547624872,208.887,0.15807599514832435
8,"n=500, prev=0.5, high, strong",ACS-Balance,0.883,0.08804996533651206,0.8472004139063224,204.566,0.2281560884633987
9,"n=500, prev=0.5, medium, weak",ACS-Balance,0.529,0.09068512112791198,0.6639844339174499,160.638,0.1631387812151847
10,"n=500, prev=0.5, medium, strong",ACS-Balance,0.527,0.09101515644033258,0.6609576079706708,159.982,0.2307711649921288
11,"n=500, prev=0.5, low, weak",ACS-Balance,0.349,0.09529545306494985,0.4932104264819073,119.902,0.18955392796355489
12,"n=500, prev=0.5, low, strong",ACS-Balance,0.353,0.09531662837206971,0.49518361281273204,120.178,0.24234971933725752
13,"n=500, prev=0.7, high, weak",ACS-Balance,0.432,0.08843009503908032,0.9665611998964307,144.535,0.1708856087642645
14,"n=500, prev=0.7, high, strong",ACS-Knee,0.527,0.0989826548150013,0.9782322747432319,146.172,0.24614076184537567
15,"n=500, prev=0.7, medium, weak",ACS-Balance,0.365,0.093069372864045,0.8442057629637478,125.985,0.1845622258497166
16,"n=500, prev=0.7, medium, strong",ACS-Balance,0.358,0.0932799251816231,0.8403665694248347,126.004,0.2401088673626047
17,"n=500, prev=0.7, low, weak",ACS-Balance,0.282,0.09996001434060463,0.6611760493470528,98.975,0.20854118453115228
